DOI;Code ;Analysis_ID;Référence;Authors;Year;Journal;Country;Types of study;N;Population;Sexe;Population subgroup;Inclusion criteria;Sous-groupe d'analyse;Age;AgeForAnalysis_Mean;SDAnalysis;MinAge;MaxAge;Sous-groupe_d'analyse;Degre_de_relation;BMI;BMI_Mean;BMI_SD;BMI_Min;BMI_Max;Type_of_sport_practice;Subcategory_of_sport;Sport_name;Sport_level;Sporting_population;Sous-groupe_d'analyse;Exercise_frequency;Freq_Mean;Freq_SD;Freq_Min;Freq_Max;Freq_Unit;Freq_Base;Years_of_experience;Exp_Mean;Exp_SD;Exp_Min;Exp_Max;Exp_Unit;ACADS ;VD;Measure_VD;CLASS;sub-class_1;sub-class_2;sub-class_3;sub-class_4;Measure_VI;CLASS.1;sub-class_1;sub-class_2;sub-class_3;sub-class_4;Mediator;Measure_Mediator;Moderator;Measure_Moderator;Type_of_analysis;N_mobilise_dans_les analyse;Sous-groupe_d'analyse;;VI;sub-class_Final_VD;sub-class_Final_VI;Degre_de_relation;Multiplicity_analyse;Degre_r;Signe_p;Degre_p ;Degre_beta;Degre_RS;Index;Resultat_de_relation;Sous-groupe_d'analyse2;Authors_conclusions;Limites;Perspectives;Notes 
10.35365/ctjpp.22.1.02;1;1;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=.27, p=.00;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Muscle Dysmorphia Disorder Inventory (MDDI);DEAB;Exercise-Related Behaviors;Functional impairment;;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Functional impairment;Orthorexia;Functional impairment;r=.27, p=.00;simple;0.27;=;0.0;;;;+;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;2;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=.06, p=.34;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Muscle Dysmorphia Disorder Inventory (MDDI);Intrapersonal factor related to DEAB;Body image;Body dissatisfaction;Appearance intolerance;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Appearance intolerance;Orthorexia;Appearance intolerance;r=.06, p=.34;simple;0.06;=;0.34;;;;NS;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;3;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=-.02, p=.76;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Muscle Dysmorphia Disorder Inventory (MDDI);Intrapersonal factor related to DEAB;Motivation;Exercise motivation;Drive for size;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Drive for size;Orthorexia;Drive for size;r=-.02, p=.76;simple;-0.02;=;0.76;;;;NS;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;4;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=-.07, p=.30;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Motivation Scale in Sports-II;Intrapersonal factor related to DEAB;Motivation;Exercise motivation;Intrinsic motivation;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Intrinsic Motivation;Orthorexia;Intrinsic motivation;r=-.07, p=.30;simple;-0.07;=;0.3;;;;NS;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;5;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=-.15, p=.02;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Motivation Scale in Sports-II;Intrapersonal factor related to DEAB;Motivation;Exercise motivation;Assimilation;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Assimilation;Orthorexia;Assimilation;r=-.15, p=.02;simple;-0.15;=;0.02;;;;-;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;6;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=.009, p=.90;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Motivation Scale in Sports-II;Intrapersonal factor related to DEAB;Motivation;Exercise motivation;Identification;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Identification;Orthorexia;Identification;r=.009, p=.90;simple;0.009;=;0.9;;;;NS;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;7;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=-.14, p=.04;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Motivation Scale in Sports-II;Intrapersonal factor related to DEAB;Motivation;Exercise motivation;Introjection;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Introjection;Orthorexia;Introjection;r=-.14, p=.04;simple;-0.14;=;0.04;;;;-;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;8;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=.003, p=.96;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Motivation Scale in Sports-II;Intrapersonal factor related to DEAB;Motivation;Exercise Motivation;Extrinsic regulation  for sport;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Extrinsic Regulation for sport;Orthorexia;Extrinsic regulation for sport;r=.003, p=.96;simple;0.003;=;0.96;;;;NS;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;9;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=.14, p=.04;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Orthorexia;ORTHO-11;DEAB;Orthorexia;;;;Motivation Scale in Sports-II;Intrapersonal factor related to DEAB;Motivation;Exercise Motivation;Amotivation;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Amotivation;Orthorexia;Amotivation;r=.14, p=.04;simple;0.14;=;0.04;;;;+;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
10.35365/ctjpp.22.1.02;1;10;Abras, H., Erdag, D., & Buran, A. (2022). Investigation of the Relationship between Muscle Dysmorphia Disorder, Orthorexia Nervosa, and Motivation in Male Individuals Engaged in Bodybuilding Sports. Cyprus Turkish Journal of Psychiatry & Psychology, 4(1), 13‑22. https://doi.org/10.35365/ctjpp.22.1.02;Abraş, H., Erdag, D., Buran, A.;2022;Cyprus Turkish Journal of Psychiatry & Psychology ;CHYPRE;Cross-sectional studies;200;Athletes;Male;N.A;Volunteer male participants aged between 18 and 58 engaged in bodybuilding, registered in gyms in TRNC. ;NA;"Mage=29,75
[18-58]";29.75;;18;58;NA;r=.340, p=.00;N.A.;;;;;Individual sport;Aesthetic;Bodybuilding;Amateur;N.A. ;NA;"M=6.91 weekly hours
[1-17]";6.91;;1;17;hours;week;"M=7.40 years 
[1-26]";7.4;;1;26;years;EDNOS;Functional impairment;Muscle Dysmorphia Disorder Inventory (MDDI);DEAB;Exercise-Related Behaviors;Functional impairment;;;Muscle Dysmorphia Disorder Inventory (MDDI);Intrapersonal factor related to DEAB;Body image;Body dissatisfaction;Appearance intolerance;;N.A.;N.A.;N.A.;N.A.;Pearson's Correlation Coefficient;200;NA;;Appearance intolerance;Functional impairment;Appearance intolerance;r=.340, p=.00;simple;0.34;=;0.0;;;;+;NA;As muscle dysmorphia increases, orthorexia nervosa increases in individuals engaged in bodybuilding sports in the TRNC. ;Since this study was conducted only on male bodybuilders, the findings cannot be generalized to Female bodybuilders.;"It is essential to provide education on muscle dysmorphia, orthorexia nervosa, and the use of ergogenic nutritional supplements in Physical Education and Sports Schools, as well as in coach training programs. Additionally, training on athlete nutrition and sports psychology in these institutions would equip them with knowledge about both athlete motivations and the mental health disorders frequently seen in athletes. Given the rise of these mental health issues in gyms, sports psychologists should be present in these environments, and mental health assessments should be conducted alongside medical evaluations for new memberships.
Conducting similar studies across different sports and with female participants could contribute valuable new insights to the literature.";
